"U:0","U:1","U:2","k","nut","omega","p","yPlus","Points:0","Points:1","Points:2"
30.937,0.63329,-1.2434,0.006009,9.1815e-05,4.304,-29.137,0,0.33,0.19415,0.24837
30.815,0.32311,-0.87507,0.0055074,0.00014196,0.89507,-23.45,0,0.33,0.24278,0.298
30.827,0.31989,-1.2977,0.0055647,9.2732e-05,1.6272,-24.552,0,0.33,0.24281,0.24848
30.743,0.1343,-0.79373,0.005482,0.00017753,0.57782,-20.485,0,0.33,0.29146,0.29801
30.749,0.016164,-1.2423,0.0054966,0.00010214,0.87683,-20.948,0,0.33,0.29151,0.24845
30.691,-0.020876,-0.76141,0.0054729,0.00018261,0.47877,-18.463,0,0.33,0.34011,0.29803
30.697,-0.19538,-1.0584,0.0054799,0.00011914,0.62593,-18.506,0,0.33,0.34021,0.24843
30.66,-0.093076,-0.61559,0.0054677,0.00023913,0.40014,-16.638,0,0.33,0.38875,0.29805
30.655,-0.32863,-0.85103,0.0054725,0.00014775,0.50342,-16.853,0,0.33,0.38887,0.24846
30.259,-1.332,-0.42395,0.0055254,8.8811e-05,1.7364,-9.1551,0,0.33,0.44184,0.049585
30.247,-1.3655,-0.43868,0.005529,8.463e-05,1.8252,-8.933,0,0.33,0.43782,0.049584
30.216,-1.417,-0.0031532,0.0055419,8.5381e-05,2.1422,-8.1041,0,0.33,0.44184,1.0816e-05
30.199,-1.4613,-0.0032264,0.0055471,7.974e-05,2.2688,-7.7985,0,0.33,0.43786,1.056e-05
30.522,-0.85663,0.79292,0.005481,0.00012476,0.68293,-13.727,0,0.33,0.44184,-0.14923
30.585,-0.60004,0.75187,0.0054724,0.00015072,0.50629,-14.971,0,0.33,0.44184,-0.19893
30.521,-0.87264,0.81857,0.0054818,0.00011991,0.69986,-13.709,0,0.33,0.43762,-0.14923
